race;horseNumber;odds;type
[10, 11];[1, 1];160.0;DBL
[10, 11];[2, 1];25.0;DBL
[10, 11];[3, 1];30.0;DBL
[10, 11];[4, 1];522.0;DBL
[10, 11];[5, 1];505.0;DBL
[10, 11];[6, 1];48.0;DBL
[10, 11];[7, 1];22.0;DBL
[10, 11];[8, 1];168.0;DBL
[10, 11];[9, 1];15.0;DBL
[10, 11];[10, 1];74.0;DBL
[10, 11];[11, 1];27.0;DBL
[10, 11];[1, 2];94.0;DBL
[10, 11];[2, 2];12.0;DBL
[10, 11];[3, 2];40.0;DBL
[10, 11];[4, 2];374.0;DBL
[10, 11];[5, 2];355.0;DBL
[10, 11];[6, 2];40.0;DBL
[10, 11];[7, 2];17.0;DBL
[10, 11];[8, 2];150.0;DBL
[10, 11];[9, 2];9.2;DBL
[10, 11];[10, 2];48.0;DBL
[10, 11];[11, 2];22.0;DBL
[10, 11];[1, 3];401.0;DBL
[10, 11];[2, 3];91.0;DBL
[10, 11];[3, 3];163.0;DBL
[10, 11];[4, 3];602.0;DBL
[10, 11];[5, 3];999.0;DBL
[10, 11];[6, 3];151.0;DBL
[10, 11];[7, 3];87.0;DBL
[10, 11];[8, 3];554.0;DBL
[10, 11];[9, 3];84.0;DBL
[10, 11];[10, 3];193.0;DBL
[10, 11];[11, 3];103.0;DBL
[10, 11];[1, 4];999.0;DBL
[10, 11];[2, 4];563.0;DBL
[10, 11];[3, 4];846.0;DBL
[10, 11];[4, 4];999.0;DBL
[10, 11];[5, 4];999.0;DBL
[10, 11];[6, 4];929.0;DBL
[10, 11];[7, 4];479.0;DBL
[10, 11];[8, 4];999.0;DBL
[10, 11];[9, 4];384.0;DBL
[10, 11];[10, 4];946.0;DBL
[10, 11];[11, 4];626.0;DBL
[10, 11];[1, 5];480.0;DBL
[10, 11];[2, 5];185.0;DBL
[10, 11];[3, 5];238.0;DBL
[10, 11];[4, 5];999.0;DBL
[10, 11];[5, 5];999.0;DBL
[10, 11];[6, 5];321.0;DBL
[10, 11];[7, 5];144.0;DBL
[10, 11];[8, 5];555.0;DBL
[10, 11];[9, 5];129.0;DBL
[10, 11];[10, 5];117.0;DBL
[10, 11];[11, 5];174.0;DBL
[10, 11];[1, 6];903.0;DBL
[10, 11];[2, 6];602.0;DBL
[10, 11];[3, 6];999.0;DBL
[10, 11];[4, 6];999.0;DBL
[10, 11];[5, 6];999.0;DBL
[10, 11];[6, 6];867.0;DBL
[10, 11];[7, 6];451.0;DBL
[10, 11];[8, 6];999.0;DBL
[10, 11];[9, 6];546.0;DBL
[10, 11];[10, 6];999.0;DBL
[10, 11];[11, 6];380.0;DBL
[10, 11];[1, 7];190.0;DBL
[10, 11];[2, 7];38.0;DBL
[10, 11];[3, 7];84.0;DBL
[10, 11];[4, 7];793.0;DBL
[10, 11];[5, 7];679.0;DBL
[10, 11];[6, 7];78.0;DBL
[10, 11];[7, 7];29.0;DBL
[10, 11];[8, 7];239.0;DBL
[10, 11];[9, 7];32.0;DBL
[10, 11];[10, 7];68.0;DBL
[10, 11];[11, 7];38.0;DBL
[10, 11];[1, 8];343.0;DBL
[10, 11];[2, 8];75.0;DBL
[10, 11];[3, 8];168.0;DBL
[10, 11];[4, 8];999.0;DBL
[10, 11];[5, 8];399.0;DBL
[10, 11];[6, 8];99.0;DBL
[10, 11];[7, 8];60.0;DBL
[10, 11];[8, 8];446.0;DBL
[10, 11];[9, 8];65.0;DBL
[10, 11];[10, 8];73.0;DBL
[10, 11];[11, 8];61.0;DBL
[10, 11];[1, 9];185.0;DBL
[10, 11];[2, 9];25.0;DBL
[10, 11];[3, 9];73.0;DBL
[10, 11];[4, 9];678.0;DBL
[10, 11];[5, 9];628.0;DBL
[10, 11];[6, 9];49.0;DBL
[10, 11];[7, 9];18.0;DBL
[10, 11];[8, 9];246.0;DBL
[10, 11];[9, 9];17.0;DBL
[10, 11];[10, 9];45.0;DBL
[10, 11];[11, 9];22.0;DBL
[10, 11];[1, 10];999.0;DBL
[10, 11];[2, 10];999.0;DBL
[10, 11];[3, 10];999.0;DBL
[10, 11];[4, 10];999.0;DBL
[10, 11];[5, 10];999.0;DBL
[10, 11];[6, 10];999.0;DBL
[10, 11];[7, 10];839.0;DBL
[10, 11];[8, 10];999.0;DBL
[10, 11];[9, 10];999.0;DBL
[10, 11];[10, 10];999.0;DBL
[10, 11];[11, 10];999.0;DBL
[10, 11];[1, 11];999.0;DBL
[10, 11];[2, 11];811.0;DBL
[10, 11];[3, 11];999.0;DBL
[10, 11];[4, 11];999.0;DBL
[10, 11];[5, 11];999.0;DBL
[10, 11];[6, 11];999.0;DBL
[10, 11];[7, 11];583.0;DBL
