race;horseNumber;odds;type
[1, 2];[1, 1];12.0;DBL
[1, 2];[2, 1];177.0;DBL
[1, 2];[3, 1];999.0;DBL
[1, 2];[4, 1];13.0;DBL
[1, 2];[5, 1];540.0;DBL
[1, 2];[6, 1];186.0;DBL
[1, 2];[7, 1];0.0;DBL
[1, 2];[8, 1];150.0;DBL
[1, 2];[9, 1];569.0;DBL
[1, 2];[1, 2];10.0;DBL
[1, 2];[2, 2];150.0;DBL
[1, 2];[3, 2];780.0;DBL
[1, 2];[4, 2];14.0;DBL
[1, 2];[5, 2];352.0;DBL
[1, 2];[6, 2];98.0;DBL
[1, 2];[7, 2];0.0;DBL
[1, 2];[8, 2];76.0;DBL
[1, 2];[9, 2];441.0;DBL
[1, 2];[1, 3];35.0;DBL
[1, 2];[2, 3];305.0;DBL
[1, 2];[3, 3];670.0;DBL
[1, 2];[4, 3];35.0;DBL
[1, 2];[5, 3];808.0;DBL
[1, 2];[6, 3];222.0;DBL
[1, 2];[7, 3];0.0;DBL
[1, 2];[8, 3];192.0;DBL
[1, 2];[9, 3];406.0;DBL
[1, 2];[1, 4];32.0;DBL
[1, 2];[2, 4];353.0;DBL
[1, 2];[3, 4];999.0;DBL
[1, 2];[4, 4];38.0;DBL
[1, 2];[5, 4];607.0;DBL
[1, 2];[6, 4];187.0;DBL
[1, 2];[7, 4];0.0;DBL
[1, 2];[8, 4];155.0;DBL
[1, 2];[9, 4];669.0;DBL
[1, 2];[1, 5];14.0;DBL
[1, 2];[2, 5];218.0;DBL
[1, 2];[3, 5];999.0;DBL
[1, 2];[4, 5];19.0;DBL
[1, 2];[5, 5];265.0;DBL
[1, 2];[6, 5];141.0;DBL
[1, 2];[7, 5];0.0;DBL
[1, 2];[8, 5];97.0;DBL
[1, 2];[9, 5];537.0;DBL
[1, 2];[1, 6];13.0;DBL
[1, 2];[2, 6];109.0;DBL
[1, 2];[3, 6];709.0;DBL
[1, 2];[4, 6];18.0;DBL
[1, 2];[5, 6];329.0;DBL
[1, 2];[6, 6];98.0;DBL
[1, 2];[7, 6];0.0;DBL
[1, 2];[8, 6];100.0;DBL
[1, 2];[9, 6];458.0;DBL
[1, 2];[1, 7];48.0;DBL
[1, 2];[2, 7];470.0;DBL
[1, 2];[3, 7];999.0;DBL
[1, 2];[4, 7];38.0;DBL
[1, 2];[5, 7];426.0;DBL
[1, 2];[6, 7];236.0;DBL
[1, 2];[7, 7];0.0;DBL
[1, 2];[8, 7];288.0;DBL
[1, 2];[9, 7];799.0;DBL
[1, 2];[1, 8];48.0;DBL
[1, 2];[2, 8];431.0;DBL
[1, 2];[3, 8];999.0;DBL
[1, 2];[4, 8];61.0;DBL
[1, 2];[5, 8];873.0;DBL
[1, 2];[6, 8];320.0;DBL
[1, 2];[7, 8];0.0;DBL
[1, 2];[8, 8];196.0;DBL
[1, 2];[9, 8];947.0;DBL
[1, 2];[1, 9];11.0;DBL
[1, 2];[2, 9];180.0;DBL
[1, 2];[3, 9];999.0;DBL
[1, 2];[4, 9];15.0;DBL
[1, 2];[5, 9];468.0;DBL
[1, 2];[6, 9];111.0;DBL
[1, 2];[7, 9];0.0;DBL
[1, 2];[8, 9];84.0;DBL
[1, 2];[9, 9];439.0;DBL
[1, 2];[1, 10];125.0;DBL
[1, 2];[2, 10];999.0;DBL
[1, 2];[3, 10];999.0;DBL
[1, 2];[4, 10];183.0;DBL
[1, 2];[5, 10];999.0;DBL
[1, 2];[6, 10];350.0;DBL
[1, 2];[7, 10];0.0;DBL
[1, 2];[8, 10];691.0;DBL
[1, 2];[9, 10];999.0;DBL
[1, 2];[1, 11];33.0;DBL
[1, 2];[2, 11];323.0;DBL
[1, 2];[3, 11];999.0;DBL
[1, 2];[4, 11];34.0;DBL
[1, 2];[5, 11];695.0;DBL
[1, 2];[6, 11];230.0;DBL
[1, 2];[7, 11];0.0;DBL
[1, 2];[8, 11];134.0;DBL
[1, 2];[9, 11];537.0;DBL
[1, 2];[1, 12];26.0;DBL
[1, 2];[2, 12];148.0;DBL
[1, 2];[3, 12];999.0;DBL
[1, 2];[4, 12];31.0;DBL
[1, 2];[5, 12];506.0;DBL
[1, 2];[6, 12];211.0;DBL
[1, 2];[7, 12];0.0;DBL
[1, 2];[8, 12];139.0;DBL
[1, 2];[9, 12];703.0;DBL
[1, 2];[1, 13];26.0;DBL
[1, 2];[2, 13];288.0;DBL
[1, 2];[3, 13];999.0;DBL
[1, 2];[4, 13];43.0;DBL
[1, 2];[5, 13];624.0;DBL
[1, 2];[6, 13];279.0;DBL
[1, 2];[7, 13];0.0;DBL
[1, 2];[8, 13];180.0;DBL
[1, 2];[9, 13];752.0;DBL
[1, 2];[1, 14];82.0;DBL
[1, 2];[2, 14];833.0;DBL
[1, 2];[3, 14];999.0;DBL
[1, 2];[4, 14];124.0;DBL
[1, 2];[5, 14];999.0;DBL
[1, 2];[6, 14];534.0;DBL
[1, 2];[7, 14];0.0;DBL
[1, 2];[8, 14];590.0;DBL
[1, 2];[9, 14];999.0;DBL
1;[1, 2];24.0;FCT
1;[2, 1];40.0;FCT
1;[1, 3];75.0;FCT
1;[2, 3];405.0;FCT
1;[3, 1];184.0;FCT
1;[3, 2];442.0;FCT
1;[1, 4];3.8;FCT
1;[2, 4];59.0;FCT
1;[3, 4];284.0;FCT
1;[4, 1];3.4;FCT
1;[4, 2];35.0;FCT
1;[4, 3];124.0;FCT
1;[1, 5];37.0;FCT
1;[2, 5];279.0;FCT
1;[3, 5];552.0;FCT
1;[4, 5];43.0;FCT
1;[5, 1];83.0;FCT
1;[5, 2];309.0;FCT
1;[5, 3];518.0;FCT
1;[5, 4];131.0;FCT
1;[1, 6];15.0;FCT
1;[2, 6];155.0;FCT
1;[3, 6];497.0;FCT
1;[4, 6];24.0;FCT
1;[5, 6];245.0;FCT
1;[6, 1];32.0;FCT
1;[6, 2];127.0;FCT
1;[6, 3];396.0;FCT
1;[6, 4];42.0;FCT
1;[6, 5];220.0;FCT
1;[1, 7];0.0;FCT
1;[2, 7];0.0;FCT
1;[3, 7];0.0;FCT
1;[4, 7];0.0;FCT
1;[5, 7];0.0;FCT
1;[6, 7];0.0;FCT
1;[7, 1];0.0;FCT
1;[7, 2];0.0;FCT
1;[7, 3];0.0;FCT
1;[7, 4];0.0;FCT
1;[7, 5];0.0;FCT
1;[7, 6];0.0;FCT
1;[1, 8];19.0;FCT
1;[2, 8];116.0;FCT
1;[3, 8];503.0;FCT
1;[4, 8];20.0;FCT
1;[5, 8];281.0;FCT
1;[6, 8];113.0;FCT
1;[7, 8];0.0;FCT
1;[8, 1];36.0;FCT
1;[8, 2];119.0;FCT
1;[8, 3];448.0;FCT
1;[8, 4];36.0;FCT
1;[8, 5];263.0;FCT
1;[8, 6];112.0;FCT
1;[8, 7];0.0;FCT
1;[1, 9];51.0;FCT
1;[2, 9];408.0;FCT
1;[3, 9];633.0;FCT
1;[4, 9];81.0;FCT
1;[5, 9];615.0;FCT
1;[6, 9];301.0;FCT
1;[7, 9];0.0;FCT
1;[8, 9];347.0;FCT
1;[9, 1];104.0;FCT
1;[9, 2];410.0;FCT
1;[9, 3];625.0;FCT
1;[9, 4];141.0;FCT
1;[9, 5];596.0;FCT
1;[9, 6];341.0;FCT
1;[9, 7];0.0;FCT
1;[9, 8];406.0;FCT
1;[1, 2, 3, 4];45.0;FF
1;[1, 2, 3, 5];249.0;FF
1;[1, 2, 4, 5];21.0;FF
1;[1, 3, 4, 5];44.0;FF
1;[2, 3, 4, 5];410.0;FF
1;[1, 2, 3, 6];155.0;FF
1;[1, 2, 4, 6];8.0;FF
1;[1, 3, 4, 6];24.0;FF
1;[2, 3, 4, 6];342.0;FF
1;[1, 2, 5, 6];85.0;FF
1;[1, 3, 5, 6];177.0;FF
1;[2, 3, 5, 6];716.0;FF
1;[1, 4, 5, 6];7.9;FF
1;[2, 4, 5, 6];135.0;FF
1;[3, 4, 5, 6];218.0;FF
1;[1, 2, 3, 7];0.0;FF
1;[1, 2, 4, 7];0.0;FF
1;[1, 3, 4, 7];0.0;FF
1;[2, 3, 4, 7];0.0;FF
1;[1, 2, 5, 7];0.0;FF
1;[1, 3, 5, 7];0.0;FF
1;[2, 3, 5, 7];0.0;FF
1;[1, 4, 5, 7];0.0;FF
1;[2, 4, 5, 7];0.0;FF
1;[3, 4, 5, 7];0.0;FF
1;[1, 2, 6, 7];0.0;FF
1;[1, 3, 6, 7];0.0;FF
1;[2, 3, 6, 7];0.0;FF
1;[1, 4, 6, 7];0.0;FF
1;[2, 4, 6, 7];0.0;FF
1;[3, 4, 6, 7];0.0;FF
1;[1, 5, 6, 7];0.0;FF
1;[2, 5, 6, 7];0.0;FF
1;[3, 5, 6, 7];0.0;FF
1;[4, 5, 6, 7];0.0;FF
1;[1, 2, 3, 8];226.0;FF
1;[1, 2, 4, 8];9.9;FF
1;[1, 3, 4, 8];38.0;FF
1;[2, 3, 4, 8];398.0;FF
1;[1, 2, 5, 8];95.0;FF
1;[1, 3, 5, 8];258.0;FF
1;[2, 3, 5, 8];999.0;FF
1;[1, 4, 5, 8];12.0;FF
1;[2, 4, 5, 8];139.0;FF
1;[3, 4, 5, 8];384.0;FF
1;[1, 2, 6, 8];39.0;FF
1;[1, 3, 6, 8];144.0;FF
1;[2, 3, 6, 8];703.0;FF
1;[1, 4, 6, 8];3.7;FF
1;[2, 4, 6, 8];55.0;FF
1;[3, 4, 6, 8];202.0;FF
1;[1, 5, 6, 8];66.0;FF
1;[2, 5, 6, 8];401.0;FF
1;[3, 5, 6, 8];802.0;FF
1;[4, 5, 6, 8];76.0;FF
1;[1, 2, 7, 8];0.0;FF
1;[1, 3, 7, 8];0.0;FF
1;[2, 3, 7, 8];0.0;FF
1;[1, 4, 7, 8];0.0;FF
1;[2, 4, 7, 8];0.0;FF
1;[3, 4, 7, 8];0.0;FF
1;[1, 5, 7, 8];0.0;FF
1;[2, 5, 7, 8];0.0;FF
1;[3, 5, 7, 8];0.0;FF
1;[4, 5, 7, 8];0.0;FF
1;[1, 6, 7, 8];0.0;FF
1;[2, 6, 7, 8];0.0;FF
1;[3, 6, 7, 8];0.0;FF
1;[4, 6, 7, 8];0.0;FF
1;[5, 6, 7, 8];0.0;FF
1;[1, 2, 3, 9];327.0;FF
1;[1, 2, 4, 9];29.0;FF
1;[1, 3, 4, 9];67.0;FF
1;[2, 3, 4, 9];942.0;FF
1;[1, 2, 5, 9];242.0;FF
1;[1, 3, 5, 9];350.0;FF
1;[2, 3, 5, 9];999.0;FF
1;[1, 4, 5, 9];24.0;FF
1;[2, 4, 5, 9];408.0;FF
1;[3, 4, 5, 9];627.0;FF
1;[1, 2, 6, 9];119.0;FF
1;[1, 3, 6, 9];235.0;FF
1;[2, 3, 6, 9];999.0;FF
1;[1, 4, 6, 9];15.0;FF
1;[2, 4, 6, 9];225.0;FF
1;[3, 4, 6, 9];378.0;FF
1;[1, 5, 6, 9];179.0;FF
1;[2, 5, 6, 9];815.0;FF
1;[3, 5, 6, 9];946.0;FF
1;[4, 5, 6, 9];218.0;FF
1;[1, 2, 7, 9];0.0;FF
1;[1, 3, 7, 9];0.0;FF
1;[2, 3, 7, 9];0.0;FF
1;[1, 4, 7, 9];0.0;FF
1;[2, 4, 7, 9];0.0;FF
1;[3, 4, 7, 9];0.0;FF
1;[1, 5, 7, 9];0.0;FF
1;[2, 5, 7, 9];0.0;FF
1;[3, 5, 7, 9];0.0;FF
1;[4, 5, 7, 9];0.0;FF
1;[1, 6, 7, 9];0.0;FF
1;[2, 6, 7, 9];0.0;FF
1;[3, 6, 7, 9];0.0;FF
1;[4, 6, 7, 9];0.0;FF
1;[5, 6, 7, 9];0.0;FF
1;[1, 2, 8, 9];137.0;FF
1;[1, 3, 8, 9];358.0;FF
1;[2, 3, 8, 9];999.0;FF
