date,race,horseCode,place,model_prob,public_prob,odds
2024-01-01,1,HK_2022_H170,1,0.10358120434407793,0.3507884980192813,2.3
2024-01-01,1,HK_2022_H404,8,0.09075189150048653,0.015222897083855602,53.0
2024-01-01,1,HK_2022_H159,6,0.08792674516837114,0.05762953896031049,14.0
2024-01-01,1,HK_2022_H402,3,0.1011008470558084,0.03507884980192813,23.0
2024-01-01,1,HK_2022_H353,13,0.10904087006809841,0.018763105708008068,43.0
2024-01-01,1,HK_2022_H466,4,0.08219736798789712,0.1075751393925796,7.5
2024-01-01,1,HK_2022_H440,12,0.08881958481757785,0.0806813545444347,10.0
2024-01-01,1,HK_2022_H483,5,0.0668145644204488,0.05762953896031049,14.0
2024-01-01,1,HK_2022_H326,7,0.07246695385409942,0.038419692640207,21.0
2024-01-01,1,HK_2022_H426,9,0.05471809439527278,0.09381552854004034,8.6
2024-01-01,1,HK_2022_H384,11,0.06403357362256464,0.008769712450482033,92.0
2024-01-01,1,HK_2021_G025,10,0.0443603646987673,0.038419692640207,21.0
2024-01-01,1,HK_2021_H012,2,0.01984433847200269,0.09720645125835504,8.3
2024-01-01,2,HK_2022_H056,5,0.10358119531923568,0.025737734671986943,32.0
2024-01-01,2,HK_2022_H322,2,0.09075188266064885,0.2225966241901573,3.7
2024-01-01,2,HK_2022_H486,11,0.08792674738799712,0.011438993187549752,72.0
2024-01-01,2,HK_2023_J059,7,0.10110086699031491,0.024223750279517123,34.0
2024-01-01,2,HK_2023_J027,1,0.1090408917149255,0.45755972750199014,1.8
2024-01-01,2,HK_2021_G210,10,0.08219735245511627,0.03294430038014329,25.0
2024-01-01,2,HK_2022_H348,9,0.0888195751256367,0.010295093868794777,80.0
2024-01-01,2,HK_2022_H148,6,0.06681456444903736,0.04334776365808327,19.0
2024-01-01,2,HK_2022_H097,3,0.0724669547755441,0.12478901659145185,6.6
2024-01-01,2,HK_2022_H290,12,0.05471808611919369,0.006239450829572593,132.0
2024-01-01,2,HK_2022_H247,8,0.06403358233800246,0.019153663011711213,43.0
2024-01-01,2,HK_2020_E188,4,0.04436036523631383,0.021673881829041636,38.0
2024-01-01,3,HK_2020_E306,1,0.12339823328632529,0.25543254480050276,3.2
2024-01-01,3,HK_2022_H420,10,0.1007594140906173,0.08340654524098047,9.8
2024-01-01,3,HK_2023_J077,8,0.09322865012569347,0.01385396853155269,59.0
2024-01-01,3,HK_2021_G269,9,0.11568485099774811,0.016027140065913898,51.0
